Date,Product,Category,Region,Quantity,Sales($)
01-01-2021,Tablet,Mobile,Central,2,788.78
01-01-2021,Smartwatch,Wearables,East,1,235.63
02-01-2021,Keyboard,Accessories,South,1,64.06
03-01-2021,Webcam,Accessories,West,1,76.48
03-01-2021,Monitor,Computers,Central,1,337.47
03-01-2021,Keyboard,Accessories,Central,4,287.66
04-01-2021,Speaker,Audio,East,3,416.67
04-01-2021,Laptop,Computers,Central,1,535.01
04-01-2021,Webcam,Accessories,North,3,243.15
05-01-2021,Speaker,Audio,West,4,497.4
05-01-2021,Keyboard,Accessories,East,1,53.37
06-01-2021,Keyboard,Accessories,West,3,180.44
07-01-2021,Headphones,Accessories,Central,2,219.26
07-01-2021,Smartphone,Mobile,South,1,423.09
07-01-2021,Keyboard,Accessories,West,1,73.01
07-01-2021,Smartphone,Mobile,South,2,943.47
08-01-2021,Headphones,Accessories,South,2,212.51
09-01-2021,Laptop,Computers,Central,2,1259.87
10-01-2021,Laptop,Computers,West,3,1857.36
10-01-2021,Webcam,Accessories,South,2,169.84
12-01-2021,Speaker,Audio,West,3,393.63
12-01-2021,Speaker,Audio,East,4,524.4
13-01-2021,Tablet,Mobile,South,2,771.98
13-01-2021,Speaker,Audio,West,2,271.36
14-01-2021,Keyboard,Accessories,South,3,173.54
14-01-2021,Smartwatch,Wearables,South,3,709.68
15-01-2021,Monitor,Computers,North,3,832
15-01-2021,Smartphone,Mobile,North,3,1492.2
15-01-2021,Tablet,Mobile,East,3,1129.59
16-01-2021,Speaker,Audio,West,2,204.37
16-01-2021,Tablet,Mobile,West,2,785.58
17-01-2021,Keyboard,Accessories,East,2,150.54
17-01-2021,Tablet,Mobile,West,1,374.93
17-01-2021,Smartphone,Mobile,West,2,954.77
17-01-2021,Smartphone,Mobile,West,4,2032.68
18-01-2021,Headphones,Accessories,East,3,272.43
18-01-2021,Mouse,Accessories,South,3,96.87
18-01-2021,Smartwatch,Wearables,East,2,371.94
19-01-2021,Smartwatch,Wearables,North,1,210.72
19-01-2021,Tablet,Mobile,Central,3,1127.04
19-01-2021,Smartwatch,Wearables,South,2,447.14
19-01-2021,Smartphone,Mobile,West,3,1447.03
20-01-2021,Smartphone,Mobile,Central,2,918.73
20-01-2021,Headphones,Accessories,North,4,352.38
20-01-2021,Tablet,Mobile,West,2,710.3
20-01-2021,Mouse,Accessories,East,2,61.93
21-01-2021,Webcam,Accessories,South,2,163.4
21-01-2021,Keyboard,Accessories,West,4,283.56
21-01-2021,Webcam,Accessories,Central,2,157.78
21-01-2021,Smartphone,Mobile,East,2,1156.68
22-01-2021,Headphones,Accessories,East,3,321.65
22-01-2021,Laptop,Computers,Central,2,1193.47
22-01-2021,Laptop,Computers,North,1,728.71
23-01-2021,Smartwatch,Wearables,South,3,627.37
23-01-2021,Keyboard,Accessories,West,1,61.92
24-01-2021,Tablet,Mobile,Central,3,984.7
24-01-2021,Smartwatch,Wearables,South,1,226.93
24-01-2021,Smartphone,Mobile,Central,2,837.87
25-01-2021,Webcam,Accessories,South,3,199.97
26-01-2021,Keyboard,Accessories,South,3,210.63
27-01-2021,Smartphone,Mobile,West,2,1083.74
27-01-2021,Speaker,Audio,East,3,417.84
27-01-2021,Smartphone,Mobile,North,1,427.65
28-01-2021,Tablet,Mobile,West,3,1193.1
29-01-2021,Keyboard,Accessories,South,1,71.26
29-01-2021,Smartwatch,Wearables,South,3,628.53
29-01-2021,Headphones,Accessories,North,3,273.14
29-01-2021,Speaker,Audio,South,1,110.38
30-01-2021,Tablet,Mobile,East,2,669.44
30-01-2021,Smartphone,Mobile,North,2,894.62
31-01-2021,Monitor,Computers,South,4,1205.76
01-02-2021,Headphones,Accessories,South,2,186.73
01-02-2021,Tablet,Mobile,North,1,364.51
02-02-2021,Tablet,Mobile,East,4,1493.8
02-02-2021,Headphones,Accessories,North,3,348.6
02-02-2021,Webcam,Accessories,Central,2,173.98
03-02-2021,Speaker,Audio,West,3,397.17
03-02-2021,Mouse,Accessories,South,3,109.17
03-02-2021,Monitor,Computers,North,2,643.28
