Hours_Studied,Attendance(%),Previous_Scores,Parental_Education_Level,Gender,Exam_Score
23,84,73,High School,Male,67
19,64,59,College,Female,61
24,98,91,Postgraduate,Male,74
29,89,98,High School,Male,71
19,92,65,College,Female,70
19,88,89,Postgraduate,Male,71
29,84,68,High School,Male,67
25,78,50,High School,Male,66
17,94,80,College,Male,69
23,98,71,High School,Male,72
17,80,88,College,Male,68
17,97,87,High School,Male,71
21,83,97,High School,Male,70
9,82,72,Postgraduate,Male,66
10,78,74,Postgraduate,Male,65
17,68,70,High School,Female,64
14,60,65,College,Male,60
22,70,82,High School,Female,65
15,80,91,College,Female,67
12,75,58,College,Male,66
29,78,99,High School,Female,69
19,99,84,High School,Male,72
20,74,89,College,Female,66
11,78,100,High School,Male,66
17,65,75,High School,Female,63
21,62,54,Postgraduate,Male,64
13,91,90,High School,Female,65
22,83,94,College,Male,71
16,90,58,High School,Female,66
18,66,51,College,Male,64
16,83,57,High School,Female,63
31,70,66,College,Male,69
20,69,96,High School,Male,67
14,60,50,College,Female,61
25,65,90,College,Female,68
13,72,93,High School,Male,61
21,65,91,High School,Female,64
8,99,54,Postgraduate,Female,67
12,72,84,High School,Female,63
21,65,98,High School,Male,64
24,68,56,College,Male,67
21,84,52,College,Female,65
19,63,94,High School,Male,64
18,94,82,College,Male,70
11,98,82,Postgraduate,Male,68
16,70,98,High School,Male,65
17,78,88,College,Female,68
26,61,70,High School,Female,64
22,86,72,High School,Male,68
9,77,57,High School,Male,63
22,71,65,College,Male,64
18,68,72,College,Male,64
16,86,63,High School,Male,67
24,77,96,High School,Female,67
26,67,51,Postgraduate,Female,66
26,88,79,College,Male,72
15,83,89,High School,Female,65
18,94,87,High School,Male,71
22,65,82,Postgraduate,Female,66
26,91,71,High School,Male,68
17,87,96,Postgraduate,Female,70
19,65,66,High School,Male,62
13,88,88,Postgraduate,Male,68
13,78,96,College,Male,67
25,98,56,Postgraduate,Male,71
28,66,97,High School,Male,68
20,86,89,Postgraduate,Male,69
26,75,81,High School,Male,70
22,98,69,High School,Female,69
16,73,95,College,Male,65
22,98,52,College,Female,70
29,96,72,High School,Male,71
20,71,88,College,Female,65
29,92,91,Postgraduate,Female,72
4,100,60,College,Male,69
25,70,52,Postgraduate,Female,66
21,77,90,Postgraduate,Male,68
18,81,71,High School,Female,65
21,72,57,College,Male,64
8,61,54,College,Male,60
19,69,82,High School,Male,65
22,71,79,High School,Male,66
29,78,93,College,Male,74
17,67,52,High School,Female,62
15,95,93,College,Male,70
17,88,94,High School,Male,69
25,63,72,College,Male,67
22,86,54,High School,Male,64
17,86,97,College,Male,71
23,98,54,College,Female,68
21,60,80,College,Male,64
26,70,75,High School,Female,63
16,97,92,College,Male,71
18,97,75,High School,Male,69
18,89,73,College,Female,100
11,91,94,College,Male,68
22,64,98,High School,Male,62
22,81,77,Postgraduate,Female,68
20,69,73,High School,Male,66
19,67,92,College,Male,64
12,92,92,High School,Male,67
17,65,66,Postgraduate,Female,65
18,79,79,College,Male,65
15,98,58,College,Male,69
19,67,82,High School,Male,63
22,99,92,Postgraduate,Male,72
31,100,59,Postgraduate,Male,76
21,82,66,College,Female,69
22,67,72,Postgraduate,Female,67
20,73,92,College,Male,69
8,77,87,High School,Male,63
20,72,66,Postgraduate,Male,67
20,71,62,College,Male,66
35,99,85,Postgraduate,Female,79
19,66,74,High School,Female,64
22,89,80,High School,Female,73
20,60,82,High School,Male,63
13,84,78,High School,Male,65
27,97,81,High School,Female,73
25,72,94,College,Female,70
25,67,93,High School,Female,68
15,86,57,College,Male,65
28,89,79,College,Female,71
12,88,72,College,Male,64
24,73,64,College,Male,68
33,70,82,College,Male,69
